"","county_state","numHospitals","pct_private_non_profit","num_acute_care_hospitals","avg_acute_care_rating","median_acute_care_rating"
"1","LOS ANGELES, CA",83,31.33,79,2.93,3
"2","COOK, IL",49,42.86,46,2.7,3
"3","HARRIS, TX",42,23.81,39,3.21,3
"4","MARICOPA, AZ",37,32.43,33,3.15,3
"5","DALLAS, TX",29,20.69,27,3.2,3
"6","ORANGE, CA",27,18.52,24,2.85,3
"7","TARRANT, TX",23,43.48,22,3.47,4
"8","MIAMI-DADE, FL",21,47.62,20,2.53,3
"9","ALLEGHENY, PA",18,77.78,15,3,3
"10","CLARK, NV",18,38.89,16,1.85,2
"11","OKLAHOMA, OK",18,22.22,18,3.33,3
"12","SAN BERNARDINO, CA",18,44.44,15,2.5,2
"13","CUYAHOGA, OH",17,70.59,15,3.67,4
"14","KING, WA",17,41.18,14,3.31,3
"15","PHILADELPHIA, PA",17,52.94,14,2.75,3
"16","RIVERSIDE, CA",16,6.25,16,2.44,2
"17","SAN DIEGO, CA",16,18.75,15,3.47,3
"18","SAN JUAN, PR",15,33.33,14,2.5,2.5
"19","WAYNE, MI",15,60,14,2.29,2
"20","BALTIMORE CITY, MD",14,57.14,12,NA,NA
"21","BROWARD, FL",14,0,14,2.64,2.5
"22","ALAMEDA, CA",13,38.46,12,2.5,3
"23","BEXAR, TX",13,15.38,12,3.25,3.5
"24","COLLIN, TX",13,23.08,11,3.6,4
"25","SUFFOLK, MA",13,76.92,10,3.33,3
"26","KINGS, NY",12,66.67,12,1.42,1
"27","NEW YORK, NY",12,75,12,2.7,2.5
"28","OAKLAND, MI",12,66.67,12,2.78,3
"29","PALM BEACH, FL",12,25,12,2.33,2
"30","SALT LAKE, UT",12,58.33,10,3.44,3
"31","TRAVIS, TX",12,41.67,11,3.62,4
"32","TULSA, OK",12,33.33,12,3.3,3
"33","MIDDLESEX, MA",11,72.73,11,3.18,3
"34","PINELLAS, FL",11,36.36,10,2.6,2
"35","SUFFOLK, NY",11,72.73,11,2.18,2
"36","WESTCHESTER, NY",11,81.82,10,2.4,2.5
"37","DOUGLAS, NE",10,60,8,3.33,3
